customer_id,interaction_count,segment
247329,1,cold_start
247798,1,cold_start
248105,1,cold_start
248259,1,cold_start
248369,1,cold_start
248572,3,regular
248851,1,cold_start
248913,1,cold_start
249174,1,cold_start
249225,1,cold_start
249235,1,cold_start
249470,1,cold_start
249528,1,cold_start
249998,1,cold_start
250001,1,cold_start
250048,1,cold_start
250570,2,regular
251026,1,cold_start
251062,2,regular
251270,1,cold_start
251810,2,regular
251823,1,cold_start
251942,1,cold_start
252311,1,cold_start
252684,1,cold_start
252732,2,regular
253206,1,cold_start
253356,1,cold_start
253490,2,regular
253514,1,cold_start
253895,1,cold_start
254616,1,cold_start
254969,1,cold_start
255116,1,cold_start
255313,5,power
255406,1,cold_start
255569,1,cold_start
255684,1,cold_start
255719,1,cold_start
255811,2,regular
256016,1,cold_start
256026,1,cold_start
256406,1,cold_start
256784,1,cold_start
257311,1,cold_start
257404,3,regular
257475,1,cold_start
258584,1,cold_start
258665,1,cold_start
259004,1,cold_start
259093,1,cold_start
259112,2,regular
259199,1,cold_start
259310,1,cold_start
259387,1,cold_start
259415,1,cold_start
259445,1,cold_start
259593,3,regular
259813,1,cold_start
260377,1,cold_start
261244,1,cold_start
261601,2,regular
262167,1,cold_start
262893,1,cold_start
263186,1,cold_start
263702,2,regular
263717,1,cold_start
264156,1,cold_start
264298,1,cold_start
264366,1,cold_start
264416,1,cold_start
264510,1,cold_start
264539,1,cold_start
264825,1,cold_start
264842,1,cold_start
265126,1,cold_start
265270,1,cold_start
265414,1,cold_start
265500,1,cold_start
265512,1,cold_start
265722,1,cold_start
265771,1,cold_start
265813,1,cold_start
266132,1,cold_start
266838,1,cold_start
267081,1,cold_start
267215,1,cold_start
267251,1,cold_start
268015,2,regular
268177,1,cold_start
268449,1,cold_start
268454,1,cold_start
268802,1,cold_start
268817,1,cold_start
268981,1,cold_start
269231,1,cold_start
270166,2,regular
270320,1,cold_start
270689,1,cold_start
271070,1,cold_start
271100,1,cold_start
271160,1,cold_start
271293,1,cold_start
271306,1,cold_start
271324,1,cold_start
271347,1,cold_start
272040,1,cold_start
272137,3,regular
272920,1,cold_start
272981,1,cold_start
273418,1,cold_start
273505,3,regular
273838,1,cold_start
273863,1,cold_start
273896,1,cold_start
273947,1,cold_start
273998,1,cold_start
274127,1,cold_start
274393,1,cold_start
274461,2,regular
274775,1,cold_start
274784,2,regular
275049,1,cold_start
275172,1,cold_start
275287,1,cold_start
275324,1,cold_start
275399,1,cold_start
275823,1,cold_start
276397,1,cold_start
276525,1,cold_start
276621,1,cold_start
277105,1,cold_start
277347,1,cold_start
277695,1,cold_start
277986,1,cold_start
278130,1,cold_start
278319,1,cold_start
278323,1,cold_start
279618,1,cold_start
279864,2,regular
280319,1,cold_start
